objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
1894,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Upfield Rail Corridor (Brunswick to Roxburgh Park), 
1895,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Reservoir to Whittlesea, 
1896,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Reservoir to Whittlesea, 
1897,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Reservoir to Whittlesea, 
1898,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Reservoir to Whittlesea, 
1899,PBN,On Road,Proposed,Yes,DONNYBROOK,ROAD,5055, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Epping to Mickleham, 
1900,PBN,On Road,Proposed,No,BRIDGEWATER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1901,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1902,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1903,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1904,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1905,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1906,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1907,PBN,On Road,Proposed,No,HUME,HIGHWAY,5500, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1908,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
1909,PBN,On Road,Proposed,No,THELAKES,BOULEVARD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
